CMDLINE c:\users\harry\.virtualenvs\asteroids-master-ovjyosp_\scripts\python.exe evolution.py
MEM 127.183594 1545266324.1204
MEM 127.183594 1545266324.2297
MEM 127.183594 1545266324.3358
MEM 127.183594 1545266324.4447
MEM 127.183594 1545266324.5502
MEM 127.183594 1545266324.6583
MEM 127.183594 1545266324.7639
MEM 127.183594 1545266324.8742
MEM 127.203125 1545266324.9820
MEM 127.203125 1545266325.0873
MEM 127.203125 1545266325.1965
MEM 127.203125 1545266325.3043
MEM 127.238281 1545266325.4164
MEM 127.375000 1545266325.5209
MEM 127.476562 1545266325.6267
MEM 127.625000 1545266325.7336
MEM 129.656250 1545266325.8410
MEM 130.585938 1545266325.9504
MEM 130.585938 1545266326.0560
MEM 130.585938 1545266326.1641
MEM 130.585938 1545266326.2706
MEM 130.585938 1545266326.3769
MEM 130.585938 1545266326.4877
MEM 130.585938 1545266326.5952
MEM 130.585938 1545266326.7015
MEM 130.585938 1545266326.8105
MEM 130.585938 1545266326.9188
MEM 130.585938 1545266327.0260
MEM 130.585938 1545266327.1349
MEM 130.585938 1545266327.2410
MEM 130.585938 1545266327.3466
MEM 130.585938 1545266327.4541
MEM 130.585938 1545266327.5620
MEM 130.585938 1545266327.6689
MEM 130.585938 1545266327.7749
MEM 130.585938 1545266327.8843
MEM 130.585938 1545266327.9907
MEM 130.585938 1545266328.0983
MEM 130.585938 1545266328.2044
MEM 130.585938 1545266328.3112
MEM 130.585938 1545266328.4187
MEM 130.585938 1545266328.5280
MEM 130.585938 1545266328.6341
MEM 130.585938 1545266328.7404
MEM 130.585938 1545266328.8490
MEM 130.585938 1545266328.9584
MEM 130.585938 1545266329.0646
MEM 130.585938 1545266329.1730
MEM 130.585938 1545266329.2810
MEM 130.585938 1545266329.3897
MEM 130.585938 1545266329.4970
MEM 130.585938 1545266329.6046
MEM 130.585938 1545266329.7110
MEM 130.585938 1545266329.8216
MEM 130.585938 1545266329.9295
MEM 130.585938 1545266330.0362
MEM 130.585938 1545266330.1456
MEM 130.585938 1545266330.2543
MEM 130.585938 1545266330.3631
MEM 130.585938 1545266330.4735
MEM 130.585938 1545266330.5819
MEM 130.585938 1545266330.6888
MEM 130.585938 1545266330.8015
MEM 130.585938 1545266330.9109
MEM 130.585938 1545266331.0217
MEM 130.585938 1545266331.1296
MEM 130.585938 1545266331.2382
MEM 130.585938 1545266331.3473
MEM 130.585938 1545266331.4546
MEM 130.585938 1545266331.5622
MEM 130.585938 1545266331.6696
MEM 130.585938 1545266331.7792
MEM 130.585938 1545266331.8888
MEM 130.585938 1545266331.9955
MEM 130.585938 1545266332.1018
MEM 130.585938 1545266332.2117
MEM 130.585938 1545266332.3213
MEM 130.585938 1545266332.4281
MEM 130.585938 1545266332.5351
MEM 130.585938 1545266332.6424
MEM 130.585938 1545266332.7510
MEM 130.585938 1545266332.8584
MEM 130.585938 1545266332.9638
MEM 130.695312 1545266333.0708
MEM 130.820312 1545266333.1776
MEM 130.960938 1545266333.2847
MEM 131.085938 1545266333.3921
MEM 132.148438 1545266333.5002
MEM 132.687500 1545266333.6071
MEM 132.687500 1545266333.7135
MEM 132.687500 1545266333.8221
MEM 132.687500 1545266333.9285
MEM 132.687500 1545266334.0348
MEM 132.687500 1545266334.1431
MEM 132.687500 1545266334.2479
MEM 132.687500 1545266334.3543
MEM 132.687500 1545266334.4620
MEM 132.687500 1545266334.5665
MEM 132.687500 1545266334.6725
MEM 132.687500 1545266334.7789
MEM 132.687500 1545266334.8878
MEM 132.687500 1545266334.9953
MEM 132.687500 1545266335.1043
MEM 132.687500 1545266335.2121
MEM 132.687500 1545266335.3185
MEM 132.687500 1545266335.4266
MEM 132.687500 1545266335.5312
MEM 132.687500 1545266335.6367
MEM 132.687500 1545266335.7434
MEM 132.687500 1545266335.8498
MEM 132.687500 1545266335.9583
MEM 132.687500 1545266336.0654
MEM 132.687500 1545266336.1728
MEM 132.687500 1545266336.2760
MEM 132.687500 1545266336.3831
MEM 132.687500 1545266336.4915
MEM 132.687500 1545266336.5985
MEM 132.687500 1545266336.7027
MEM 132.687500 1545266336.8143
MEM 132.687500 1545266336.9206
MEM 132.687500 1545266337.0292
MEM 132.687500 1545266337.1364
MEM 132.687500 1545266337.2425
MEM 132.687500 1545266337.3489
MEM 132.687500 1545266337.4542
MEM 132.687500 1545266337.5617
MEM 132.687500 1545266337.6638
MEM 132.687500 1545266337.7703
MEM 132.687500 1545266337.8766
MEM 132.687500 1545266337.9854
MEM 132.687500 1545266338.0920
MEM 132.687500 1545266338.2006
MEM 132.687500 1545266338.3066
MEM 132.687500 1545266338.4118
MEM 132.687500 1545266338.5179
MEM 132.687500 1545266338.6248
MEM 132.687500 1545266338.7288
MEM 132.687500 1545266338.8319
MEM 132.687500 1545266338.9397
MEM 132.687500 1545266339.0465
MEM 132.687500 1545266339.1545
MEM 132.687500 1545266339.2647
MEM 132.687500 1545266339.3699
MEM 132.687500 1545266339.4769
MEM 132.687500 1545266339.5859
MEM 132.851562 1545266339.6949
MEM 132.937500 1545266339.8000
MEM 133.101562 1545266339.9056
MEM 134.375000 1545266340.0141
MEM 135.492188 1545266340.1206
MEM 135.500000 1545266340.2268
MEM 135.500000 1545266340.3342
MEM 135.500000 1545266340.4401
MEM 135.500000 1545266340.5482
MEM 135.500000 1545266340.6561
MEM 135.500000 1545266340.7648
MEM 135.500000 1545266340.8705
MEM 135.500000 1545266340.9771
MEM 135.500000 1545266341.0852
MEM 135.500000 1545266341.1941
MEM 135.500000 1545266341.3010
MEM 135.500000 1545266341.4058
MEM 135.500000 1545266341.5116
MEM 135.500000 1545266341.6164
MEM 135.500000 1545266341.7255
MEM 135.500000 1545266341.8312
MEM 135.500000 1545266341.9379
MEM 135.500000 1545266342.0435
MEM 135.500000 1545266342.1472
MEM 135.500000 1545266342.2548
MEM 135.500000 1545266342.3605
MEM 135.500000 1545266342.4667
MEM 135.500000 1545266342.5731
MEM 135.500000 1545266342.6821
MEM 135.500000 1545266342.7906
MEM 135.500000 1545266342.8976
MEM 135.500000 1545266343.0062
MEM 135.500000 1545266343.1150
MEM 135.500000 1545266343.2187
MEM 135.500000 1545266343.3248
MEM 135.500000 1545266343.4316
MEM 135.500000 1545266343.5384
MEM 135.500000 1545266343.6463
MEM 135.500000 1545266343.7550
MEM 135.500000 1545266343.8612
MEM 135.500000 1545266343.9699
MEM 135.500000 1545266344.0760
MEM 135.500000 1545266344.1826
MEM 135.500000 1545266344.2901
MEM 135.500000 1545266344.3968
MEM 135.500000 1545266344.5063
MEM 135.500000 1545266344.6135
MEM 135.500000 1545266344.7198
MEM 135.500000 1545266344.8309
MEM 135.500000 1545266344.9382
MEM 135.500000 1545266345.0432
MEM 135.500000 1545266345.1525
MEM 135.500000 1545266345.2590
MEM 135.500000 1545266345.3626
MEM 135.500000 1545266345.4708
MEM 135.500000 1545266345.5783
MEM 135.500000 1545266345.6856
MEM 135.500000 1545266345.7936
MEM 135.500000 1545266345.8991
MEM 135.500000 1545266346.0060
MEM 135.597656 1545266346.1110
MEM 135.722656 1545266346.2184
MEM 135.847656 1545266346.3244
MEM 135.972656 1545266346.4284
MEM 137.062500 1545266346.5337
MEM 137.210938 1545266346.6401
MEM 137.210938 1545266346.7453
MEM 137.210938 1545266346.8516
MEM 137.210938 1545266346.9617
MEM 137.210938 1545266347.0677
MEM 137.210938 1545266347.1734
MEM 137.210938 1545266347.2808
MEM 137.210938 1545266347.3864
MEM 137.210938 1545266347.4909
MEM 137.210938 1545266347.5966
MEM 137.210938 1545266347.7041
MEM 137.210938 1545266347.8121
MEM 137.210938 1545266347.9186
MEM 137.210938 1545266348.0261
MEM 137.210938 1545266348.1338
MEM 137.210938 1545266348.2412
MEM 137.210938 1545266348.3472
MEM 137.210938 1545266348.4554
MEM 137.210938 1545266348.5641
MEM 137.210938 1545266348.6733
MEM 137.210938 1545266348.7825
MEM 137.210938 1545266348.8883
MEM 137.210938 1545266348.9968
MEM 137.210938 1545266349.1022
MEM 137.210938 1545266349.2082
MEM 137.210938 1545266349.3143
MEM 137.210938 1545266349.4203
MEM 137.210938 1545266349.5234
MEM 137.210938 1545266349.6282
MEM 137.210938 1545266349.7371
MEM 137.210938 1545266349.8475
MEM 137.210938 1545266349.9546
MEM 137.210938 1545266350.0631
MEM 137.210938 1545266350.1708
MEM 137.210938 1545266350.2788
MEM 137.210938 1545266350.3839
MEM 137.210938 1545266350.4897
MEM 137.210938 1545266350.5987
MEM 137.210938 1545266350.7078
MEM 137.210938 1545266350.8139
MEM 137.210938 1545266350.9188
MEM 137.210938 1545266351.0260
MEM 137.210938 1545266351.1294
MEM 137.210938 1545266351.2366
MEM 137.210938 1545266351.3452
MEM 137.210938 1545266351.4507
MEM 137.210938 1545266351.5562
MEM 137.210938 1545266351.6618
MEM 137.210938 1545266351.7671
MEM 137.210938 1545266351.8739
MEM 137.210938 1545266351.9803
MEM 137.210938 1545266352.0861
MEM 137.210938 1545266352.1937
MEM 137.210938 1545266352.2971
MEM 137.226562 1545266352.4103
MEM 137.625000 1545266352.5173
MEM 137.738281 1545266352.6248
MEM 137.875000 1545266352.7287
MEM 137.964844 1545266352.8367
MEM 139.144531 1545266352.9433
MEM 139.351562 1545266353.0526
MEM 139.351562 1545266353.1590
MEM 139.351562 1545266353.2664
MEM 139.351562 1545266353.3748
MEM 139.351562 1545266353.4824
MEM 139.351562 1545266353.5893
MEM 139.351562 1545266353.6928
MEM 139.351562 1545266353.7995
MEM 139.351562 1545266353.9074
MEM 139.351562 1545266354.0144
MEM 139.351562 1545266354.1180
MEM 139.351562 1545266354.2263
MEM 139.351562 1545266354.3333
MEM 139.351562 1545266354.4417
MEM 139.351562 1545266354.5504
MEM 139.351562 1545266354.6568
MEM 139.351562 1545266354.7655
MEM 139.351562 1545266354.8743
MEM 139.296875 1545266354.9811
MEM 139.296875 1545266355.0898
MEM 139.296875 1545266355.1964
MEM 139.296875 1545266355.3031
MEM 139.296875 1545266355.4126
MEM 139.296875 1545266355.5178
MEM 139.296875 1545266355.6239
MEM 139.296875 1545266355.7287
MEM 139.296875 1545266355.8379
MEM 139.296875 1545266355.9449
MEM 139.296875 1545266356.0523
MEM 139.296875 1545266356.1614
MEM 139.296875 1545266356.2683
MEM 139.296875 1545266356.3762
MEM 139.296875 1545266356.4817
MEM 139.296875 1545266356.5880
MEM 139.296875 1545266356.6939
MEM 139.296875 1545266356.7991
MEM 139.296875 1545266356.9077
MEM 139.296875 1545266357.0142
MEM 139.296875 1545266357.1223
MEM 139.296875 1545266357.2282
MEM 139.296875 1545266357.3369
MEM 139.296875 1545266357.4427
MEM 139.296875 1545266357.5513
MEM 139.296875 1545266357.6602
MEM 139.296875 1545266357.7688
MEM 139.296875 1545266357.8776
MEM 139.296875 1545266357.9852
MEM 139.296875 1545266358.0902
MEM 139.296875 1545266358.1986
MEM 139.296875 1545266358.3073
MEM 139.296875 1545266358.4172
MEM 139.296875 1545266358.5238
MEM 139.296875 1545266358.6294
MEM 139.296875 1545266358.7367
MEM 139.296875 1545266358.8465
MEM 139.296875 1545266358.9544
MEM 139.296875 1545266359.0637
MEM 139.296875 1545266359.1717
MEM 139.296875 1545266359.2800
MEM 139.296875 1545266359.3876
MEM 139.296875 1545266359.4985
MEM 139.296875 1545266359.6087
MEM 139.296875 1545266359.7159
MEM 139.296875 1545266359.8252
MEM 139.578125 1545266359.9342
MEM 139.660156 1545266360.0392
MEM 139.765625 1545266360.1462
MEM 139.890625 1545266360.2544
MEM 141.585938 1545266360.3672
MEM 143.062500 1545266360.4763
MEM 143.062500 1545266360.5835
MEM 143.062500 1545266360.6883
MEM 143.062500 1545266360.7971
MEM 143.062500 1545266360.9059
MEM 143.062500 1545266361.0135
MEM 143.062500 1545266361.1241
MEM 143.062500 1545266361.2356
MEM 143.062500 1545266361.3423
MEM 143.062500 1545266361.4506
MEM 143.062500 1545266361.5597
MEM 143.062500 1545266361.6673
MEM 143.062500 1545266361.7735
MEM 143.062500 1545266361.8822
MEM 143.062500 1545266362.0118
MEM 143.062500 1545266362.1218
MEM 143.062500 1545266362.2295
MEM 143.062500 1545266362.3423
MEM 143.062500 1545266362.4571
MEM 143.062500 1545266362.5705
MEM 143.062500 1545266362.6798
MEM 143.062500 1545266362.7901
MEM 143.062500 1545266362.9015
MEM 143.062500 1545266363.0164
MEM 143.062500 1545266363.1238
MEM 143.062500 1545266363.2404
MEM 143.062500 1545266363.3492
MEM 143.062500 1545266363.4557
MEM 143.062500 1545266363.5638
MEM 143.062500 1545266363.6725
MEM 143.062500 1545266363.7808
MEM 143.062500 1545266363.8911
MEM 143.062500 1545266364.0005
MEM 143.062500 1545266364.1086
MEM 143.062500 1545266364.2166
MEM 143.062500 1545266364.3230
MEM 143.062500 1545266364.4320
MEM 143.062500 1545266364.5388
MEM 143.062500 1545266364.6463
MEM 143.062500 1545266364.7568
MEM 143.062500 1545266364.8645
MEM 143.062500 1545266364.9708
MEM 143.062500 1545266365.0760
MEM 143.062500 1545266365.1846
MEM 143.062500 1545266365.2896
MEM 143.062500 1545266365.3981
MEM 143.062500 1545266365.5053
MEM 143.062500 1545266365.6123
MEM 143.062500 1545266365.7182
MEM 143.062500 1545266365.8261
MEM 143.062500 1545266365.9337
MEM 143.062500 1545266366.0403
MEM 143.062500 1545266366.1461
MEM 143.062500 1545266366.2526
MEM 143.062500 1545266366.3595
MEM 143.062500 1545266366.4660
MEM 143.062500 1545266366.5764
MEM 143.062500 1545266366.6820
